game_id,season_id,game_date,home_team,visitor_team,home_score,visitor_score,attendance,game_length,game_length_seconds,venue,num_periods,shootout_rounds,referee1_name,referee1_number,referee2_name,referee2_number,linesperson1_name,linesperson1_number,linesperson2_name,linesperson2_number,is_final
2,1,"Monday, January  1, 2024",PWHL Toronto,PWHL New York,0,4,2537,2:27,8820,Mattamy Athletic Centre | Toronto,NA,0,Jake Kamrass,NA,Lacey Senuk,NA,Antoine Bujold-Roux (72),NA,Erin Zach (60),NA,TRUE
3,1,"Tuesday, January  2, 2024",PWHL Ottawa,PWHL Montreal,2,3,8318,2:23,8580,TD Place | Ottawa,NA,0,Elizabeth Mantha (15),NA,Liam Maaskant,NA,Jessica Chartrand (26),NA,Anthony Lapointe (78),NA,TRUE
4,1,"Wednesday, January  3, 2024",PWHL Boston,PWHL Minnesota,2,3,4012,2:21,8460,Tsongas Center | Lowell,NA,0,Kelly Cooke (29),NA,Jordan Deckard,NA,TJ Dockery (70),NA,Kirsten Welsh (10),NA,TRUE
5,1,"Friday, January  5, 2024",PWHL New York,PWHL Toronto,2,3,2152,2:25,8700,Total Mortgage Arena | Bridgeport,NA,0,Chelsea Rapin (22),NA,Samantha Hiller (12),NA,Stephanie Gagnon (22),NA,Erin Zach (60),NA,TRUE
6,1,"Saturday, January  6, 2024",PWHL Minnesota,PWHL Montreal,3,0,13316,2:21,8460,Xcel Energy Center | St. Paul,NA,0,Melissa Doyle (48),NA,Amy Martin (52),NA,Greg Offerman (95),NA,Sarah Buckner (10),NA,TRUE
9,1,"Wednesday, January 10, 2024",PWHL New York,PWHL Montreal,2,5,2201,2:26,8760,UBS Arena | Elmont,NA,0,Jim Curtin (23),NA,Charly Hurley (43),NA,Patrick Dapuzzo (77),NA,Antoine Bujold-Roux (72),NA,TRUE
8,1,"Wednesday, January 10, 2024",PWHL Minnesota,PWHL Toronto,3,1,4707,2:20,8400,Xcel Energy Center | St. Paul,NA,0,Alexandra Clarke (7),NA,Adam Tobias (16),NA,Luke Pye (80),NA,Sarah Buckner (10),NA,TRUE
10,1,"Saturday, January 13, 2024",PWHL Toronto,PWHL Ottawa,1,5,2417,2:16,8160,Mattamy Athletic Centre | Toronto,NA,0,Krysta Ansell (19),NA,Grace Barlow (73),NA,Sophie Thomson (75),NA,Spencer Knox (81),NA,TRUE
11,1,"Saturday, January 13, 2024",PWHL Montreal,PWHL Boston,2,3,3245,2:30,9000,Verdun Auditorium | Montreal,NA,0,Marie-Eve Couture (51),NA,Lacey Senuk (39),NA,Jessica Chartrand (63),NA,Shawn Oliver (56),NA,TRUE
12,1,"Sunday, January 14, 2024",PWHL Minnesota,PWHL New York,2,3,7951,2:24,8640,Xcel Energy Center | St. Paul,NA,0,Jake Kamrass (3),NA,Amanda Tassoni (21),NA,Sarah Buckner (10),NA,Erin Zach (60),NA,TRUE
13,1,"Tuesday, January 16, 2024",PWHL Montreal,PWHL New York,3,2,6334,2:29,8940,Place Bell | Laval,NA,0,Jenn Berezowski (65),NA,Harrison O'Pray (27),NA,Jarrett T. Burton (90),NA,Luke Pye (80),NA,TRUE
15,1,"Wednesday, January 17, 2024",PWHL Ottawa,PWHL Minnesota,2,3,5609,2:26,8760,TD Place | Ottawa,NA,0,Damian Figueira (20),NA,Harrison O'Pray (27),NA,Joanie Duchesneau (74),NA,Jeremy Faucher (85),NA,TRUE
14,1,"Wednesday, January 17, 2024",PWHL Toronto,PWHL Boston,2,3,2491,2:20,8400,Mattamy Athletic Centre | Toronto,NA,0,Jack Hennigan (11),NA,David Elford (44),NA,Laura Gutauskas (67),NA,Ali Beres (68),NA,TRUE
16,1,"Saturday, January 20, 2024",PWHL Boston,PWHL New York,1,4,4007,2:13,7980,Tsongas Center | Lowell,NA,0,Kelly Cooke (29),NA,Shauna Neary (88),NA,Stephanie Gagnon (76),NA,Kirsten Welsh (64),NA,TRUE
17,1,"Saturday, January 20, 2024",PWHL Montreal,PWHL Toronto,3,4,3232,2:36,9360,Verdun Auditorium | Montreal,NA,2,Elizabeth Mantha (15),NA,Chelsea Rapin (2),NA,Laura Gutauskas (67),NA,Anthony Lapointe (78),NA,TRUE
18,1,"Tuesday, January 23, 2024",PWHL Ottawa,PWHL Toronto,3,1,6316,2:17,8220,TD Place | Ottawa,NA,0,Chad Ingalls (25),NA,Liam Maaskant (62),NA,Stephanie Gagnon (76),NA,Dustin McCrank (68),NA,TRUE
19,1,"Wednesday, January 24, 2024",PWHL Ottawa,PWHL Boston,2,3,5208,2:24,8640,TD Place | Ottawa,NA,0,David Elford (11),NA,Brandy Beecroft (33),NA,Justine Todd (70),NA,Shawn Oliver (56),NA,TRUE
20,1,"Wednesday, January 24, 2024",PWHL Minnesota,PWHL Montreal,1,2,5001,2:23,8580,Xcel Energy Center | St. Paul,NA,0,Charly Hurley (43),NA,Melissa Doyle (48),NA,Sarah Buckner (10),NA,Antoine Bujold-Roux (72),NA,TRUE
21,1,"Friday, January 26, 2024",PWHL Toronto,PWHL New York,2,0,2506,2:17,8220,Mattamy Athletic Centre | Toronto,NA,0,Cianna Murray (13),NA,Krysta Ansell (19),NA,Sophie Thomson (75),NA,Erin Zach (60),NA,TRUE
